Country,"Account ID","Campaign ID","Ad name",Currency,"Amount spent (USD)",Leads,"Cost per lead","Registrations completed","Cost per registration completed","CTR (all)","CPM (cost per 1,000 impressions)",Reach,Impressions,Frequency,"Reporting starts","Reporting ends"
IN,1641083631350576,120246379238790106,"🇮🇳 IN_96 [FortuneGems]",USD,0,,,,,0,0,1,1,1,2026-07-01,2026-07-17
IN,1641083631350576,120246379238450106,"🇮🇳 IN_97 [FortuneGems]",USD,1.33,,,,,1.66666667,22.16666667,58,60,1.03448276,2026-07-01,2026-07-17
IN,1641083631350576,120246379238820106,"🇮🇳 IN_96 [FortuneGems]",USD,2.38,3,0.79333333,3,0.79333333,2.34375,18.59375,124,128,1.03225806,2026-07-01,2026-07-17
IN,1641083631350576,120246379238530106,"🇮🇳 IN_97 [FortuneGems]",USD,2.84,,,1,2.84,0,34.21686747,82,83,1.01219512,2026-07-01,2026-07-17
IN,1641083631350576,120246379238790106,"🇮🇳 IN_97 [FortuneGems]",USD,1.27,,,,,0,24.90196078,51,51,1,2026-07-01,2026-07-17
IN,1641083631350576,120246407207210106,"🇮🇳 IN_96 [FortuneGems]",USD,0.5,,,,,0,45.45454545,10,11,1.1,2026-07-01,2026-07-17
IN,1641083631350576,120246407207210106,"🇮🇳 IN_97 [FortuneGems]",USD,1.92,2,0.96,1,1.92,4.16666667,26.66666667,69,72,1.04347826,2026-07-01,2026-07-17
IN,1641083631350576,120246407207210106,"🇮🇳 IN_99 [FortuneGems]",USD,1.14,2,0.57,1,1.14,3.03030303,17.27272727,65,66,1.01538462,2026-07-01,2026-07-17
IN,1641083631350576,120246408070370106,"🇮🇳 IN_97 [FortuneGems]",USD,2.75,,,,,0.74626866,20.52238806,130,134,1.03076923,2026-07-01,2026-07-17
IN,1641083631350576,120246408070400106,"🇮🇳 IN_97 [FortuneGems]",USD,1.52,,,,,0,22.68656716,65,67,1.03076923,2026-07-01,2026-07-17
IN,1641083631350576,120246408070490106,"🇮🇳 IN_97 [FortuneGems]",USD,1.56,2,0.78,1,1.56,2.83018868,14.71698113,106,106,1,2026-07-01,2026-07-17
IN,1641083631350576,120246408070450106,"🇮🇳 IN_97 [FortuneGems]",USD,3.47,,,,,1.70940171,29.65811966,114,117,1.02631579,2026-07-01,2026-07-17
IN,1641083631350576,120246408070740106,"🇮🇳 IN_97 [FortuneGems]",USD,1.19,1,1.19,1,1.19,1.08695652,12.93478261,90,92,1.02222222,2026-07-01,2026-07-17
IN,1641083631350576,120246408070340106,"🇮🇳 IN_97 [FortuneGems]",USD,1.88,1,1.88,,,0.98039216,18.43137255,99,102,1.03030303,2026-07-01,2026-07-17
IN,1641083631350576,120246408070410106,"🇮🇳 IN_99 [FortuneGems]",USD,0,,,,,0,0,2,2,1,2026-07-01,2026-07-17
IN,1641083631350576,120246408070490106,"🇮🇳 IN_99 [FortuneGems]",USD,0.29,,,,,2.27272727,6.59090909,42,44,1.04761905,2026-07-01,2026-07-17
